Date : 2025-05-20 16:39:15
Directory : c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim
Total : 397 files,  42390 codes, 5503 comments, 6337 blanks, all 54230 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\testprog\TPicSim4.LST                                                                                            | PIC18 Assembler |        107 |          0 |          1 |        108 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\testprog\TPicSim5.LST                                                                                            | PIC18 Assembler |         51 |          0 |          1 |         52 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\testprog\TPicSim6.LST                                                                                            | PIC18 Assembler |         95 |          0 |          1 |         96 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\testprog\TPicSim7.LST                                                                                            | PIC18 Assembler |         85 |          0 |          1 |         86 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\testprog\TPicSim8.LST                                                                                            | PIC18 Assembler |        116 |          0 |          1 |        117 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\testprog\TPicSim9.LST                                                                                            | PIC18 Assembler |         48 |          0 |          1 |         49 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\.bcr\README.md                                                                                 | Markdown        |          7 |          0 |          3 |         10 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\.bcr\metadata.template.json                                                                    | JSON            |         16 |          0 |          1 |         17 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\.bcr\presubmit.yml                                                                             | YAML            |         20 |          0 |          2 |         22 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\.bcr\source.template.json                                                                      | JSON            |          5 |          0 |          1 |          6 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\.github\FUNDING.yml                                                                            | YAML            |          1 |          0 |          1 |          2 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\.github\workflows\build.yaml                                                                   | YAML            |        128 |          4 |         25 |        157 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\.github\workflows\documentation.yaml                                                           | YAML            |         52 |          1 |          8 |         61 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\.github\workflows\publish.yaml                                                                 | YAML            |         19 |          1 |          5 |         25 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\.github\workflows\release.yaml                                                                 | YAML            |         80 |          8 |         13 |        101 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\CHANGELOG.md                                                                                   | Markdown        |        427 |          0 |         76 |        503 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\CMakeLists.txt                                                                                 | CMake           |        166 |          0 |         16 |        182 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\README.md                                                                                      | Markdown        |        277 |          0 |        127 |        404 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\cmake\ftxui_benchmark.cmake                                                                    | CMake           |         19 |          0 |          3 |         22 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\cmake\ftxui_coverage.cmake                                                                     | CMake           |          8 |          0 |          1 |          9 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\cmake\ftxui_export.cmake                                                                       | CMake           |          8 |          0 |          1 |          9 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\cmake\ftxui_find_google_benchmark.cmake                                                        | CMake           |         28 |          0 |          5 |         33 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\cmake\ftxui_find_google_test.cmake                                                             | CMake           |         28 |          0 |          6 |         34 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\cmake\ftxui_fuzzer.cmake                                                                       | CMake           |         18 |          0 |          4 |         22 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\cmake\ftxui_install.cmake                                                                      | CMake           |         54 |          0 |          7 |         61 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\cmake\ftxui_message.cmake                                                                      | CMake           |         16 |          0 |          2 |         18 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\cmake\ftxui_package.cmake                                                                      | CMake           |         26 |          0 |          3 |         29 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\cmake\ftxui_set_options.cmake                                                                  | CMake           |         91 |          0 |         16 |        107 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\cmake\ftxui_test.cmake                                                                         | CMake           |         75 |          0 |          9 |         84 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\cmake\iwyu.cmake                                                                               | CMake           |          7 |          0 |          1 |          8 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\codecov.yml                                                                                    | YAML            |         10 |          0 |          3 |         13 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\doc\CMakeLists.txt                                                                             | CMake           |         23 |          0 |          5 |         28 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\doc\doxygen_extra.css                                                                          | PostCSS         |        253 |         14 |         57 |        324 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\doc\doxygen_footer.html                                                                        | HTML            |          4 |          6 |          1 |         11 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\doc\doxygen_header.html                                                                        | HTML            |         40 |         16 |          4 |         60 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\doc\doxygen_layout.xml                                                                         | XML             |        211 |          6 |          8 |        225 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\doc\mainpage.md                                                                                | Markdown        |        659 |          0 |        237 |        896 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\CMakeLists.txt                                                                        | CMake           |         26 |          0 |          5 |         31 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\CMakeLists.txt                                                              | CMake           |         51 |          0 |          2 |         53 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\button.cpp                                                                  | C++             |          8 |          0 |          2 |         10 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\button_animated.cpp                                                         | C++             |         34 |          5 |          7 |         46 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\button_in_frame.cpp                                                         | C++             |         36 |          3 |          9 |         48 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\button_style.cpp                                                            | C++             |         52 |          3 |          6 |         61 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\canvas_animated.cpp                                                         | C++             |        213 |         18 |         32 |        263 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\checkbox.cpp                                                                | C++             |         28 |          3 |          8 |         39 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\checkbox_in_frame.cpp                                                       | C++             |         24 |          3 |          8 |         35 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\collapsible.cpp                                                             | C++             |         46 |          5 |          7 |         58 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\composition.cpp                                                             | C++             |         42 |         11 |         11 |         64 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\custom_loop.cpp                                                             | C++             |         43 |          4 |          8 |         55 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\dropdown.cpp                                                                | C++             |         35 |          3 |          7 |         45 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\dropdown_custom.cpp                                                         | C++             |         94 |          3 |          8 |        105 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\flexbox_gallery.cpp                                                         | C++             |        165 |          3 |         24 |        192 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\focus.cpp                                                                   | C++             |         56 |          3 |         11 |         70 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\focus_cursor.cpp                                                            | C++             |         30 |          3 |          5 |         38 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\gallery.cpp                                                                 | C++             |        121 |         15 |         19 |        155 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\homescreen.cpp                                                              | C++             |        462 |         34 |         40 |        536 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\input.cpp                                                                   | C++             |         49 |         10 |         10 |         69 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\input_in_frame.cpp                                                          | C++             |         22 |          3 |          6 |         31 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\input_style.cpp                                                             | C++             |         78 |          3 |         17 |         98 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\linear_gradient_gallery.cpp                                                 | C++             |         43 |          3 |         10 |         56 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\maybe.cpp                                                                   | C++             |         31 |          3 |          8 |         42 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\menu.cpp                                                                    | C++             |         23 |          3 |          7 |         33 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\menu2.cpp                                                                   | C++             |         64 |          7 |          9 |         80 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\menu_entries.cpp                                                            | C++             |         64 |          5 |         13 |         82 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\menu_entries_animated.cpp                                                   | C++             |         52 |          5 |          9 |         66 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\menu_in_frame.cpp                                                           | C++             |         23 |          3 |          7 |         33 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\menu_in_frame_horizontal.cpp                                                | C++             |         21 |          3 |          7 |         31 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\menu_multiple.cpp                                                           | C++             |         66 |          3 |          9 |         78 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\menu_style.cpp                                                              | C++             |        228 |          3 |         27 |        258 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\menu_underline_animated_gallery.cpp                                         | C++             |         74 |          4 |         16 |         94 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\modal_dialog.cpp                                                            | C++             |         58 |         13 |         12 |         83 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\modal_dialog_custom.cpp                                                     | C++             |         74 |          7 |         13 |         94 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\nested_screen.cpp                                                           | C++             |         43 |          3 |          5 |         51 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\print_key_press.cpp                                                         | C++             |         52 |          3 |         12 |         67 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\radiobox.cpp                                                                | C++             |         18 |          3 |          5 |         26 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\radiobox_in_frame.cpp                                                       | C++             |         23 |          3 |          7 |         33 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\renderer.cpp                                                                | C++             |         32 |          9 |          8 |         49 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\resizable_split.cpp                                                         | C++             |         27 |          3 |          9 |         39 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\scrollbar.cpp                                                               | C++             |         97 |          3 |         13 |        113 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\selection.cpp                                                               | C++             |         75 |          4 |          9 |         88 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\slider.cpp                                                                  | C++             |         10 |          3 |          4 |         17 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\slider_direction.cpp                                                        | C++             |         30 |         12 |          8 |         50 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\slider_rgb.cpp                                                              | C++             |         51 |          3 |          8 |         62 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\tab_horizontal.cpp                                                          | C++             |         58 |          3 |         10 |         71 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\tab_vertical.cpp                                                            | C++             |         58 |          3 |         10 |         71 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\textarea.cpp                                                                | C++             |         26 |          3 |          6 |         35 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\toggle.cpp                                                                  | C++             |         54 |          3 |          8 |         65 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\window.cpp                                                                  | C++             |         71 |          3 |         15 |         89 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\component\with_restored_io.cpp                                                        | C++             |         45 |          6 |         10 |         61 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\CMakeLists.txt                                                                    | CMake           |         37 |          0 |          2 |         39 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\border.cpp                                                                        | C++             |         31 |          3 |          5 |         39 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\border_colored.cpp                                                                | C++             |         31 |          3 |          6 |         40 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\border_style.cpp                                                                  | C++             |         21 |          3 |          5 |         29 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\canvas.cpp                                                                        | C++             |         32 |          6 |         11 |         49 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\color_gallery.cpp                                                                 | C++             |        124 |          7 |         11 |        142 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\color_info_palette256.cpp                                                         | C++             |         28 |          4 |          8 |         40 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\color_info_sorted_2d.ipp                                                          | C++             |         44 |          4 |          6 |         54 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\color_truecolor_HSV.cpp                                                           | C++             |         25 |          3 |          8 |         36 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\color_truecolor_RGB.cpp                                                           | C++             |         42 |          3 |          9 |         54 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\dbox.cpp                                                                          | C++             |         22 |          3 |          5 |         30 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\gauge.cpp                                                                         | C++             |         29 |          3 |          5 |         37 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\gauge_direction.cpp                                                               | C++             |         65 |          3 |         11 |         79 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\graph.cpp                                                                         | C++             |         73 |          3 |         12 |         88 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\gridbox.cpp                                                                       | C++             |         42 |          3 |          4 |         49 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\hflow.cpp                                                                         | C++             |         43 |          3 |          7 |         53 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\html_like.cpp                                                                     | C++             |         49 |          3 |          8 |         60 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\linear_gradient.cpp                                                               | C++             |         18 |          3 |          5 |         26 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\package_manager.cpp                                                               | C++             |        119 |          9 |         21 |        149 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\paragraph.cpp                                                                     | C++             |         38 |          7 |          9 |         54 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\separator.cpp                                                                     | C++             |         24 |          3 |          4 |         31 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\separator_style.cpp                                                               | C++             |         36 |          3 |          8 |         47 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\size.cpp                                                                          | C++             |         23 |          3 |          6 |         32 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\spinner.cpp                                                                       | C++             |         39 |          3 |          5 |         47 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\style_blink.cpp                                                                   | C++             |         18 |          3 |          4 |         25 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\style_bold.cpp                                                                    | C++             |         18 |          3 |          4 |         25 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\style_color.cpp                                                                   | C++             |         60 |          3 |          5 |         68 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\style_dim.cpp                                                                     | C++             |         18 |          3 |          4 |         25 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\style_gallery.cpp                                                                 | C++             |         27 |          5 |          4 |         36 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\style_hyperlink.cpp                                                               | C++             |         18 |          3 |          4 |         25 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\style_inverted.cpp                                                                | C++             |         17 |          3 |          4 |         24 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\style_italic.cpp                                                                  | C++             |         17 |          3 |          4 |         24 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\style_strikethrough.cpp                                                           | C++             |         18 |          3 |          4 |         25 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\style_underlined.cpp                                                              | C++             |         18 |          3 |          4 |         25 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\style_underlined_double.cpp                                                       | C++             |         18 |          3 |          4 |         25 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\table.cpp                                                                         | C++             |         47 |          8 |         11 |         66 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\vbox_hbox.cpp                                                                     | C++             |         34 |          3 |          4 |         41 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\dom\vflow.cpp                                                                         | C++             |         41 |          3 |          6 |         50 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\index.css                                                                             | PostCSS         |         92 |          0 |         16 |        108 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\index.html                                                                            | HTML            |         30 |          0 |          3 |         33 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\index.mjs                                                                             | JavaScript      |         83 |          3 |         15 |        101 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\run_webassembly.py                                                                    | Python          |         16 |          1 |          4 |         21 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\examples\sw.js                                                                                 | JavaScript      |         20 |          1 |          5 |         26 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\component\animation.hpp                                                          | C++             |         69 |         21 |         24 |        114 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\component\captured_mouse.hpp                                                     | C++             |         16 |          3 |          4 |         23 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\component\component.hpp                                                          | C++             |        111 |          6 |         26 |        143 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\component\component_base.hpp                                                     | C++             |         53 |         29 |         24 |        106 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\component\component_options.hpp                                                  | C++             |        179 |         58 |         48 |        285 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\component\event.hpp                                                              | C++             |        101 |         26 |         26 |        153 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\component\loop.hpp                                                               | C++             |         27 |          4 |         11 |         42 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\component\mouse.hpp                                                              | C++             |         29 |         10 |          9 |         48 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\component\receiver.hpp                                                           | C++             |         95 |         29 |         22 |        146 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\component\screen_interactive.hpp                                                 | C++             |        113 |         20 |         35 |        168 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\component\task.hpp                                                               | C++             |         11 |          3 |          4 |         18 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\dom\canvas.hpp                                                                   | C++             |        108 |         19 |         21 |        148 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\dom\deprecated.hpp                                                               | C++             |         10 |          3 |          4 |         17 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\dom\direction.hpp                                                                | C++             |         11 |          3 |          4 |         18 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\dom\elements.hpp                                                                 | C++             |        153 |         27 |         23 |        203 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\dom\flexbox_config.hpp                                                           | C++             |         55 |         48 |         12 |        115 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\dom\linear_gradient.hpp                                                          | C++             |         22 |         21 |          9 |         52 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\dom\node.hpp                                                                     | C++             |         47 |         14 |         19 |         80 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\dom\requirement.hpp                                                              | C++             |         33 |          8 |         11 |         52 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\dom\selection.hpp                                                                | C++             |         32 |          5 |         14 |         51 |
